Component 1,CAS-RN 1,Component 2,CAS-RN 2,Liquid Fraction 1 (mol/mol),Temperature (°C),Liquid Fraction 2 (mol/mol),Pressure EXP (bar),SMILES 1,SMILES 2
h2s,7783-06-4,cyclohexane,110-82-7,0.085,50,0.915,4.0,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.142,50,0.858,6.65,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.252,50,0.748,10.75,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.33,50,0.6699999999999999,14.2,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.414,50,0.5860000000000001,17.8,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.533,50,0.467,21.9,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.657,50,0.343,25.85,S,C1CCCCC1
h2s,7783-06-4,cyclohexane,110-82-7,0.776,50,0.224,30.35,S,C1CCCCC1
h2s,7783-06-4,DMSO,67-68-5,0.141,40,0.859,1.33,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.169,40,0.831,1.26,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.233,40,0.767,1.6,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.301,40,0.6990000000000001,1.82,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.405,40,0.595,2.22,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.445,40,0.5549999999999999,2.89,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.503,40,0.497,4.29,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.565,40,0.4350000000000001,8.43,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.601,40,0.399,11.23,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.627,40,0.373,13.46,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.65,40,0.35,15.35,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.23,50,0.77,2.02,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.299,50,0.7010000000000001,2.26,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.403,50,0.597,2.71,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.444,50,0.556,3.29,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.501,50,0.499,5.05,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.563,50,0.4370000000000001,9.99,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.598,50,0.402,12.92,S,CS(=O)C
h2s,7783-06-4,DMSO,67-68-5,0.624,50,0.376,15.98,S,CS(=O)C
